identifier,description,Justification,Salutation,Closing,Self-reference,image,language,format,Script,Material,Business Type,Title,date,latitude,longitude,lat/long,spatial coverage,dcterms:creator,comment,SVG tags
20211108_4209.jpg,חובה לעטות מסכה,,לקוחות יקרים,,zer4u,,Hebrew,printed,Square,paper|printer,חנות פרחים,"2021-11-08 - שכונה ד', שכונה ד",08/11/2021,31.25888056,34.79689722,31.258880555555557/34.79689722222222,"סופר-פארם, ראובן רובין, שכונה ד', שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211108_4211.jpg,בבקשה! לשים מסכות בכניסה לחנות,,,,שבע,,Hebrew,printed,Square,paper|printer,מכוולת,"2021-11-08 - שכונה ד', שכונה ד",08/11/2021,31.25895556,34.79671389,31.258955555555556/34.79671388888889,"סופר-פארם, ראובן רובין, שכונה ד', שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211108_4212.jpg,אין כניסה ללא עטיית מסכה,,,,,mask black ,Hebrew,printed,Square,paper|printer,חנות טלפונים,"2021-11-08 - מצדה, שכונה ד",08/11/2021,31.25890833,34.79639444,31.258908333333334/34.796394444444445,"מרכז הנגב, 6, מצדה, שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,mask_black.svg
20211108_4213.jpg,אין כניסה ללא מסכה,,,,,,Hebrew,printed,Square,paper|printer,,"2021-11-08 - מצדה, שכונה ד",08/11/2021,31.25885833,34.796325,31.258858333333333/34.796324999999996,"מרכז הנגב, 6, מצדה, שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211108_4214.jpg,כניסה למספרה עם מסכה בלבד!,,,,מספרת משה אגמי,,Hebrew,printed,Square,paper|printer,מספרה,"2021-11-08 - מצדה, שכונה ד",08/11/2021,31.25908056,34.795925,31.259080555555556/34.795925,"מרכז הנגב, 6, מצדה, שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211108_4215.jpg,הכניסה לסניף מותרת בעטיית מסכה,בהתאם להנחיות משרד הבריאות ,לקוח יקר,,בנק יהב,man_with_mask | 2m,Hebrew,printed,Square,paper|printer,בנק,"2021-11-08 - מצדה, שכונה ד",08/11/2021,31.25903333,34.79586667,31.259033333333335/34.79586666666666,"מרכז הנגב, 6, מצדה, שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,man_with_mask.svg | 2m.svg
20211108_4216.jpg,חובה לעטות מסכת פה ואף,,,,בנק יהב,man_with_mask | 2m | temp_check,Hebrew,printed,Square,paper|printer,בנק,"2021-11-08 - מצדה, שכונה ד",08/11/2021,31.25899444,34.79587222,31.258994444444443/34.79587222222222,"מרכז הנגב, 6, מצדה, שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,man_with_mask.svg | 2m.svg | temp_check.svg
20211108_4217.jpg,יש לעטות מסכה ולשמור על מרחק בעת ההמתנה ובמשך כל זמן השהייה בסניף,בהתאם להנחיות משרד הבריאות ,לקוחות יקרים,"בריאות לכולם, צוות הסניף",מזרחי טפחות,,Hebrew,printed,Square,paper|printer,בנק,"2021-11-08 - מצדה, שכונה ד",08/11/2021,31.25891944,34.79544722,31.258919444444444/34.79544722222222,"מרכז הנגב, 6, מצדה, שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,
20211108_4220.jpg,מסכת מגן חובה!,,,,"בניין מגורים ""אביסרור""",man_with_mask white black yellow,Hebrew,printed,Square,paper|printer,בניין,"2021-11-08 - שכונה ב', שכונה ב",08/11/2021,31.25559722,34.79823611,31.25559722222222/34.79823611111111,"חיים נחמן ביאליק/יצחק רגר, חיים נחמן ביאליק, שכונה ב', שכונה ב, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,man_with_mask_white_black_yellow.svg
20211108_4221.jpg,חבישת מסכה חובה,,,,"בניין מגורים ""אביסרור""",woman_with_mask  light brown blue ,Hebrew,printed,Square,paper|printer,בניין,"2021-11-08 - שכונה ב', שכונה ב",08/11/2021,31.25511944,34.79776389,31.255119444444443/34.79776388888889,"14, יעקב הכהן, שכונה ב', שכונה ב, באר שבע, נפת באר שבע, מחוז הדרום, 84102, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,woman_with_mask_light_brown_blue.svg
20211111_4230.jpg,חובה לעטות מסכה ,בהתאם להנחיות משרד הבריאות ,התגעגעתם? גם אנחנו! אבל לפני זה מספר הנחיות,"בילוי נעים, צוות מילבה","""מילבה""",man_with_mask blue | soap | temp_check | green_pass,Hebrew,Printed,Square,paper|printer,בר-מסעדה,"2021-11-11 - שכונה ד', שכונה ד",11/11/2021,31.26178611,34.79685278,31.26178611111111/34.79685277777778,"מילבה, שלמה המלך, שכונה ד', שכונה ד, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,man_with_mask_blue.svg | soap.svg | temp_check.svg | green_pass.svg
20211116_4241.jpg,אנא הקפידו על 2 מטרים-מסיכה-היגיינה,,,,אוניבסיטית בן גוריון,mask | soap |distance,Hebrew,Printed,Square,paper|printer,אוניבסיטה,"2021-11-16 - רובע החדשנות באר שבע, שכונה ג",16/11/2021,31.26186111,34.80115833,31.261861111111113/34.80115833333333,"אוניברסיטת בן גוריון בנגב, פרופסור חיים חנני, רובע החדשנות באר שבע, שכונה ג, באר שבע, נפת באר שבע, מחוז הדרום, 8452566, ישראל",Tal Oz and Nitzan Berns,dh.bgu.2022.1,mask.svg | soap.svg | distance.svg
IMG_20211103_165318.jpg,בחנות זו חייב לעטות מסיכה,הנחיות תו סגול-לכל ה10 תמונות,,,מרכז BIG,man_with_mask red | woman_with_mask red,Hebrew,Printed,Square,paper|printer, חנות במרכז BIG,BIG,03/11/2021,31.241458,34.81150497,31.241458/34.81150497222222,"ות חיל הנדסה, ביג באר שבע, אזור התעשייה באר שבע, באר שבע, נפת באר שבע, מחוז הדרום, 8441410, ישראל",יפים ריסברג,dh.bgu.2022.1,man_with_mask_red.svg | woman_with_mask_red.svg
IMG_20211103_165348.jpg,תמנון - לא תתאפשר כניסה ללא מסיכה + אנגלית\ערבית,,,,תמנון,man_with_mask red | woman_with_mask red | mask blue,Hebrew+English+Arabic,Printed,Square,paper|printer, חנות במרכז BIG,BIG,03/11/2021,31.24154197,34.81129397,31.241458/34.81150497222222,"לחם ארז, שדרות חיל הנדסה, ביג באר שבע, אזור התעשייה באר שבע, באר שבע, נפת באר שבע, מחוז הדרום, 8441410, ישראל",יפים ריסברג,dh.bgu.2022.1,man_with_mask_red.svg | woman_with_mask_red.svg | mask_blue.svg
IMG_20211103_165349.jpg,מסכה מכסה את הפה והאף+כיתוב נוסף,,,שומרים על הנחיות-שומרים על השגרה!,מרכז BIG,man_with_mask pink | woman_with_mask pink | soap | distance,Hebrew,Printed,Square,paper|printer, חנות במרכז BIG,BIG,03/11/2021,31.241544,34.81129397,31.241541972222223/34.81129397222222,"יל הנדסה, ביג באר שבע, אזור התעשייה באר שבע, באר שבע, נפת באר שבע, מחוז הדרום, 8441410, ישראל",יפים ריסברג,dh.bgu.2022.1,man_with_mask_pink.svg | woman_with_mask_pink.svg | soap.svg | distance.svg
IMG_20211103_165427.jpg,חלה חובה לחבוש מסכה בכל זמן שהות בסניף+כיתוב נוסף,,"לקוחות יקרים,בהתאם להנחיות משרד הבריאות",תודה על שיתוף הפעולה וחזרה מהירה לשגרה מאחלים בריאות איתנה צוות ACE,ACE,,Hebrew,Printed,Square,paper|printer, חנות במרכז BIG,BIG,03/11/2021,31.24144097,34.81098097,31.241544/34.81129397222222,"לחם ארז, שדרות חיל הנדסה, ביג באר שבע, אזור התעשייה באר שבע, באר שבע, נפת באר שבע, מחוז הדרום, 8441410, ישראל",יפים ריסברג,dh.bgu.2022.1,
IMG_20211103_165449.jpg,לקוחות יקרים!חובה עטיית מסיכות בחנויות!מסכה מצילה חיים ומונעת הדבקה!,,"לקוחות יקרים,","בריאות לכלום, מחסני תאורה",מחסני תאורה,woman_with_mask yellow | distance,Hebrew,Printed,Square,paper|printer, חנות במרכז BIG,BIG,03/11/2021,31.241602,34.811060999999995,31.24144097222222/34.81098097222222,"לחם ארז, שדרות חיל הנדסה, ביג באר שבע, אזור התעשייה באר שבע, באר שבע, נפת באר שבע, מחוז הדרום, 8441410, ישראל",יפים ריסברג,dh.bgu.2022.1,woman_with_mask_yellow.svg | distance.svg
IMG_20211103_165525.jpg,עוטים מסכה פה ואף+כיתוב נוסף,,,תודה על שיתוף הפעולה.,מרכז BIG,mask white | distance,Hebrew,Printed,Square,paper|printer, חנות במרכז BIG,BIG,03/11/2021,31.241982,34.810994,31.244134972222223/34.81082597222222,"אופטיקה מרקוביץ', שדרות חיל הנדסה, אזור התעשייה באר שבע, באר שבע, נפת באר שבע, מחוז הדרום, 8441410, ישראל",יפים ריסברג,dh.bgu.2022.1,mask_white.svg | distance.svg
IMG_20211103_170050.jpg,לקוחות יקרים! הקפידו על עטיית מסכה +ערבית\אנגלית,,,,מקדונלדס,mask blue,Hebrew+English+Arabic,Printed,Square,paper|printer, חנות במרכז BIG,BIG,03/11/2021,31.24413497,34.81082597,31.244134972222223/34.81082597222222,"מקדונלד'ס, אליהו נאוי, אזור התעשייה באר שבע, באר שבע, נפת באר שבע, מחוז הדרום, 8441410, ישראל",יפים ריסברג,dh.bgu.2022.1,mask_blue.svg
